                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3333,                 1.4856,                  2.903,                0.74184,                0.86726,                0.88655,                0.56064,                 1.0707,                 1.0586,                 3.1663,             0.00066304,             0.00066304,             0.00066304
                      2,                 1.0698,                0.83749,                 2.6495,                0.79556,                 0.9212,                0.88408,                0.53212,                 1.2153,                0.89997,                 3.3403,              0.0013034,              0.0013034,              0.0013034
                      3,                 1.0261,                0.76675,                 2.5435,                0.86988,                0.76327,                0.90518,                0.57065,                 1.0649,                 1.0013,                 3.0965,              0.0019173,              0.0019173,              0.0019173
                      4,                0.98437,                0.73241,                 2.5338,                0.74853,                0.62832,                0.72277,                0.47105,                  1.018,                 1.1874,                 3.2296,              0.0018812,              0.0018812,              0.0018812
                      5,                 0.9516,                0.69662,                  2.484,                0.76149,                0.59071,                0.74736,                0.51409,                0.86484,                 1.3261,                 2.8349,              0.0018416,              0.0018416,              0.0018416
                      6,                 0.9274,                0.68246,                 2.4431,                0.89407,                0.95233,                0.94455,                0.67944,                0.92155,                0.87999,                 2.7654,               0.001802,               0.001802,               0.001802
                      7,                0.89882,                0.65375,                 2.3886,                0.88662,                0.96883,                0.95146,                0.67804,                0.84558,                0.78016,                 2.9077,              0.0017624,              0.0017624,              0.0017624
                      8,                0.87121,                0.61932,                 2.3906,                0.90282,                0.95133,                0.96803,                0.71622,                0.88324,                0.73384,                 2.6862,              0.0017228,              0.0017228,              0.0017228
                      9,                0.87126,                0.62198,                 2.3893,                0.93274,                0.95116,                0.97757,                 0.7322,                0.86499,                0.68679,                 2.6834,              0.0016832,              0.0016832,              0.0016832
                     10,                0.86428,                0.61397,                 2.3695,                0.93672,                0.80973,                0.94819,                0.76235,                  0.705,                0.71655,                 2.6604,              0.0016436,              0.0016436,              0.0016436
                     11,                0.83831,                0.59547,                 2.3517,                0.92592,                0.94021,                0.97654,                0.72675,                 0.8499,                0.59452,                 2.6202,               0.001604,               0.001604,               0.001604
                     12,                0.83355,                0.58892,                 2.3393,                0.90459,                0.96493,                0.95973,                0.73771,                0.81087,                0.60955,                 2.6221,              0.0015644,              0.0015644,              0.0015644
                     13,                0.82908,                  0.583,                 2.3403,                0.92209,                0.97124,                  0.979,                0.76001,                0.79963,                0.59676,                 2.5924,              0.0015248,              0.0015248,              0.0015248
                     14,                0.81718,                0.57373,                 2.3351,                0.96068,                0.97788,                0.98669,                0.77842,                0.76941,                0.53415,                 2.6671,              0.0014852,              0.0014852,              0.0014852
                     15,                0.80213,                0.57278,                 2.2917,                0.86982,                0.92035,                0.96082,                0.76022,                0.76053,                0.61761,                 2.6045,              0.0014456,              0.0014456,              0.0014456
                     16,                0.80158,                0.56519,                 2.3179,                0.87603,                0.87553,                0.95519,                0.75404,                0.72718,                0.64886,                 2.5374,               0.001406,               0.001406,               0.001406
                     17,                0.79248,                0.55189,                 2.2792,                0.97158,                0.98312,                0.98722,                0.79704,                0.71486,                0.53035,                 2.5855,              0.0013664,              0.0013664,              0.0013664
                     18,                0.78408,                 0.5438,                 2.2705,                0.95571,                0.95481,                0.98752,                0.77313,                0.78203,                  0.559,                 2.5089,              0.0013268,              0.0013268,              0.0013268
                     19,                0.77193,                0.53301,                 2.2547,                0.95451,                0.96681,                0.98737,                0.79198,                0.75582,                0.52752,                 2.4978,              0.0012872,              0.0012872,              0.0012872
                     20,                0.78715,                0.55061,                 2.2643,                0.93033,                0.94912,                0.98121,                0.82085,                0.63202,                0.57729,                 2.4984,              0.0012476,              0.0012476,              0.0012476
                     21,                0.76774,                0.53337,                 2.2719,                0.89924,                0.93584,                0.97048,                0.78857,                0.72037,                0.65131,                 2.5709,               0.001208,               0.001208,               0.001208
                     22,                0.76284,                0.53213,                 2.2643,                0.92875,                0.92281,                 0.9643,                0.79613,                0.66909,                0.57074,                 2.5003,              0.0011684,              0.0011684,              0.0011684
                     23,                0.76075,                0.52633,                 2.2601,                0.97579,                0.98102,                0.98365,                0.82192,                0.66177,                0.42089,                 2.4994,              0.0011288,              0.0011288,              0.0011288
                     24,                0.73914,                0.50595,                 2.2299,                 0.9591,                0.98673,                 0.9906,                0.79336,                0.74592,                0.46096,                 2.5195,              0.0010892,              0.0010892,              0.0010892
                     25,                0.72922,                 0.4984,                 2.2048,                0.97567,                0.97586,                0.99037,                 0.8098,                0.67979,                0.42865,                  2.427,              0.0010496,              0.0010496,              0.0010496
                     26,                0.73698,                0.49949,                 2.2182,                0.94583,                 0.9823,                0.98323,                0.80291,                0.67793,                0.45941,                 2.4712,                0.00101,                0.00101,                0.00101
                     27,                0.72733,                0.50032,                 2.2107,                0.97802,                0.98421,                 0.9904,                0.82542,                0.67677,                 0.4311,                 2.4622,              0.0009704,              0.0009704,              0.0009704
                     28,                0.72594,                0.49622,                 2.2106,                0.92206,                0.96842,                0.98126,                0.79776,                0.69614,                 0.5356,                 2.5012,              0.0009308,              0.0009308,              0.0009308
                     29,                 0.7168,                0.48863,                 2.2015,                0.98451,                0.98414,                0.99098,                0.80428,                0.70051,                0.44566,                 2.4407,              0.0008912,              0.0008912,              0.0008912
                     30,                0.70658,                0.47953,                 2.1841,                 0.9802,                0.98573,                0.98838,                0.82008,                0.67265,                0.42361,                 2.4169,              0.0008516,              0.0008516,              0.0008516
                     31,                0.70852,                0.48675,                 2.1804,                0.97601,                0.98451,                0.98731,                0.83511,                0.64153,                0.48537,                 2.4116,               0.000812,               0.000812,               0.000812
                     32,                0.70985,                0.49053,                 2.2131,                0.98236,                0.98559,                0.99225,                0.83555,                0.65566,                0.40541,                 2.3321,              0.0007724,              0.0007724,              0.0007724
                     33,                0.69837,                 0.4772,                 2.1917,                0.97582,                0.98227,                0.99098,                0.82854,                  0.644,                0.43967,                 2.3798,              0.0007328,              0.0007328,              0.0007328
                     34,                0.69027,                0.46643,                 2.1701,                0.98082,                0.98451,                0.99092,                0.83634,                0.62514,                 0.4033,                 2.3516,              0.0006932,              0.0006932,              0.0006932
                     35,                0.68261,                0.45847,                 2.1653,                0.95642,                0.97117,                0.98703,                0.83777,                0.64237,                0.45757,                 2.3402,              0.0006536,              0.0006536,              0.0006536
                     36,                0.68073,                 0.4641,                 2.1779,                0.95915,                0.98703,                0.99032,                 0.8529,                0.58728,                0.41979,                 2.3179,               0.000614,               0.000614,               0.000614
                     37,                0.68283,                 0.4611,                 2.1556,                0.97423,                0.98451,                0.99005,                0.83149,                0.66489,                 0.4175,                 2.4019,              0.0005744,              0.0005744,              0.0005744
                     38,                0.66096,                0.44981,                 2.1552,                0.98182,                0.98894,                0.99151,                0.83091,                0.65062,                0.39047,                 2.3478,              0.0005348,              0.0005348,              0.0005348
                     39,                0.65919,                0.44894,                 2.1512,                0.98241,                0.98861,                0.99133,                0.84156,                0.60513,                0.39075,                 2.3049,              0.0004952,              0.0004952,              0.0004952
                     40,                0.65763,                  0.447,                 2.1645,                0.98034,                 0.9823,                0.99192,                0.83561,                0.62761,                0.36631,                 2.4306,              0.0004556,              0.0004556,              0.0004556
                     41,                0.63217,                0.43724,                 1.8591,                0.98452,                0.98523,                0.99298,                0.83881,                0.59796,                0.38339,                 2.3809,               0.000416,               0.000416,               0.000416
                     42,                0.62416,                0.41717,                 1.8447,                0.97497,                0.98894,                0.99201,                0.84912,                0.62312,                0.36531,                 2.3675,              0.0003764,              0.0003764,              0.0003764
                     43,                0.61984,                0.40058,                 1.8315,                0.98616,                0.98673,                0.99347,                0.84912,                0.62941,                 0.3685,                 2.3697,              0.0003368,              0.0003368,              0.0003368
                     44,                0.61223,                0.40681,                 1.8223,                0.97807,                0.98653,                0.98738,                0.84072,                0.59885,                0.38987,                 2.2937,              0.0002972,              0.0002972,              0.0002972
                     45,                0.59618,                0.39781,                 1.8146,                0.97974,                0.98673,                0.99305,                0.86264,                0.58254,                0.35653,                 2.2881,              0.0002576,              0.0002576,              0.0002576
                     46,                0.59356,                0.39118,                 1.8118,                0.98004,                0.98673,                0.99342,                0.86385,                0.57496,                0.34273,                  2.291,               0.000218,               0.000218,               0.000218
                     47,                0.57639,                0.38213,                 1.7861,                0.97737,                0.98673,                0.99065,                0.86179,                0.59642,                0.36666,                 2.2483,              0.0001784,              0.0001784,              0.0001784
                     48,                0.55583,                0.37063,                 1.7789,                0.98013,                0.98673,                0.99256,                0.86604,                0.56913,                0.34796,                 2.2551,              0.0001388,              0.0001388,              0.0001388
                     49,                0.55476,                0.36419,                 1.7804,                0.98748,                0.98673,                0.99256,                0.86787,                 0.5701,                0.34004,                   2.28,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.54817,                0.36272,                 1.7495,                0.98858,                0.98673,                0.99261,                0.86889,                0.56256,                0.33681,                 2.2621,               5.96e-05,               5.96e-05,               5.96e-05
